name,lat,long,idx
BoschOvar,40.891153,-8.616044,1
"P10 - Avenida Dr. Lourenço Peixinho, cruzamento frente à Segurança social",40.64283,-8.648285,2
"P11 - Avenida Dr. Lourenço Peixinho, cruzamento com a Rua do Eng. Oudinot",40.6431,-8.64675,3
"P12 - Avenida Dr. Lourenço Peixinho, entroncamento com a Rua Luis G. Carvalho",40.643305,-8.64427,4
P13 - Edifício da Estação da CP,40.64436,-8.64068,5
"P14 - Avenida Dr. Lourenço Peixinho, entroncamento com a Rua Luis G. Carvalho",40.642366,-8.650639,6
P15 - Ponte do Laço,40.64416,-8.65616,7
P16 - Mercado José Estevão,40.6426,-8.65539,8
P17 - Museu de Arte Nova,40.64189,-8.65567,9
P18 - Rua Combatentes da Grande Guerra,40.639705,-8.652951,10
P19 - Ponte São João,40.64339,-8.65847,11
P1 - IT,40.634757,-8.660375,12
P200 - AlticeLabs,40.62878,-8.64596,13
P20 - Igreja da Vera Cruz,40.64305,-8.65306,14
P21 - Rotunda do Oita,40.642441,-8.646279,15
P22 - Centro de Congressos,40.63972,-8.64352,16
P23 - Rotunda do Hospital,40.634747,-8.655923,17
P24 - Quiosque ao lado do Hospital,40.63319,-8.6559,18
P25 - Escola da Glória,40.63693,-8.65324,19
P26 - Casa Morgados,40.63848,-8.65147,20
P27 - Sé,40.639462,-8.649599,21
P28 - José Estevão,40.63733,-8.6485,22
P29 - S. Martinho II,40.63646,-8.64986,23
P2 - Fábrica Centro Ciência Viva de Aveiro,40.638238,-8.657345,24
P30 - Dr. Mario Sacramento I,40.636048,-8.646567,25
P31 - Dr. Mario Sacramento II,40.636088,-8.644376,26
P32 - Convivio,40.63443,-8.64882,27
P33 - Esquina dos Bombeiros Velhos,40.63245,-8.648586,28
P34 - Junta de Freguesia da Glória,40.63215,-8.6505,29
P35 - ISCA-UA,40.63028,-8.654225,30
P36 - Rotunda do Pingo Doce,40.64121,-8.64286,31
P37 - Rotunda Forca,40.64088,-8.63959,32
P38 - Parque da CP,40.643436,-8.639806,33
P39 - Rotunda de Esgueira,40.64551,-8.64249,34
P3 - Ponte Dobadoura,40.64074,-8.65705,35
P40 - Quartel II,40.6448,-8.64288,36
P41 - Quartel I,40.6455,-8.64597,37
P42 - Ex Junta Freguesia de Vera Cruz,40.64362,-8.65202,38
P43 - Escola da Vera Cruz,40.64483,-8.65107,39
P44 - Ria,40.64602,-8.65285,40
P46 - IT2 - Testbed1,40.634857,-8.659855,41
P4 - Rotunda Monumento ao Marnoto e à Salineira,40.64154,-8.65802,42
P54 - IT1,40.6341216,-8.6599783,43
P55 - A25,40.6282116,-8.7335666,44
P57 - Costa Nova,40.607595,-8.7488133,45
P58 - Barra Amigos dos Oceanos,40.636878,-8.746803,46
P59 - Barra Mercado,40.6409166,-8.7462533,47
P5 - Atlas Edificio Fernando Távora,40.64088,-8.65397,48
P6 - Edifício da Capitania,40.64161,-8.65282,49
P7 - Edifício da Capitania 2,40.64139,-8.65259,50
P8 - Mercado Manuel Firmino,40.64173,-8.64892,51
P90 - PAC Mobinov,40.8514,-8.48059,52
P9 - Ponte de Pau,40.64097,-8.64781,53
